Model,Hand,Year,Price,Engine,Kilometers,EngineType,GearBox,Color
סקודה סופרב (2019 ואילך),0,2022,2990₪לחודש,1395,,היברידיחשמל/בנזין,אוטומט,אפורמטאלי
יונדאי איוניק,1,2018,"78,280₪",1600,"129,957",בנזין,אוטומט,כסוף
ג'יפ / Jeep גרנד צ'ירוקי,0,2021,3499₪לחודש,3604,,בנזין,אוטומט,לבן
לקסוס IS300h,2,2014,"79,900₪",2494,"216,652",היברידיחשמל/בנזין,אוטומט,אפור
מיצובישי פג'רו ארוך,1,2016,"152,900₪",3200,"191,000",דיזל,אוטומט,לבןמטאלי
אלפא רומיאו מיטו / MITO,2,2016,"67,095₪",1368,"99,375",בנזין,אוטומט,לבן
יונדאי טוסון,3,2016,"10,499₪",1999,"93,000",בנזין,אוטומט,אפורעכבר
סקודה סופרב (2019 ואילך),0,2021,1026₪לחודש,1395,,היברידיחשמל/בנזין,אוטומט,כסוףמטאלי
לנד רובר ריינג' רובר איווק,0,2022,לאצויןמחיר,1498,,היברידיחשמל/בנזין,אוטומט,שחור
ניסאן מיקרה,1,2019,לאצויןמחיר,1198,"27,700",בנזין,אוטומט,לבן
אאודי Q5,3,2013,"84,000₪",1984,170,בנזין,אוטומט,לבן
אאודי Q7,2,2016,"245,000₪",2967,"126,300",דיזל,אוטומט,אפורמטאלי
ג'יפ / Jeep גרנד צ'ירוקי,2,2015,"175,000₪",2987,"192,000",דיזל,אוטומט,כסוףמטאלי
ג'יפ / Jeep קומפאס,1,2021,"187,000₪",1332,"14,000",בנזין,אוטומט,אפורמטאלי
לקסוס NX,1,2021,"260,000₪",2494,"20,000",בנזין,אוטומט,פלטינה
סובארו פורסטר,1,2019,"165,000₪",2498,"37,000",בנזין,אוטומט,ברונזהמטאלי
ניסאן קשקאי,2,2017,"88,000₪",1197,"52,000",בנזין,אוטומט,כסוף
ג'יפ / Jeep גלדיאטור,1,2021,לאצויןמחיר,3604,"10,000",בנזין,אוטומט,לבן
מרצדס GLE קופה,2,2018,"475,000₪",2996,"99,000",בנזין,אוטומט,לבןפנינה
לנד רובר ריינג' רובר ספורט,2,2013,לאצויןמחיר,2993,,,,
מיצובישי פג'רו קצר,3,2008,"115,000₪",3828,"193,500",בנזין,אוטומט,כחולכהה
סקודה קארוק,2,2018,"128,000₪",1498,"45,000",בנזין,אוטומט,שחור
אאודי Q5,2,2014,"103,000₪",1984,"128,000",בנזין,אוטומט,לבן
ג'יפ / Jeep רנגלר קצר,1,2020,"330,000₪",1995,"18,000",בנזין,אוטומט,לבןפנינה
אלפא רומיאו סטלויו,2,2018,"220,000₪",1995,"27,000",בנזין,אוטומט,לבן
