Model,Hand,Year,Price,Engine,Kilometers,EngineType,GearBox,Color
וולוו S60,2,2016,לאצויןמחיר,1969,"148,000",בנזין,אוטומט,לבן
הונדה ג'אז ,1,2019,"86,500₪",1318,"33,000",בנזין,אוטומט,שחורמטאלי
אופל קורסה,3,2012,"10,500₪",1398,"120,000",בנזין,ידנית,כחולבהירמטאלי
שברולט מאליבו,2,2010,לאצויןמחיר,2384,"180,000",בנזין,אוטומט,שחורמטאלי
מרצדס ML Class,3,2014,"159,000₪",3498,"129,000",בנזין,אוטומט,לבן
טויוטה C-HR,1,2018,"128,000₪",1798,"19,000",בנזין,אוטומט,אפורמטאלי
יונדאי i10,1,2014,"37,900₪",1248,"70,000",בנזין,אוטומט,אדום
מרצדס S-Class קופה,2,2016,לאצויןמחיר,5461,"110,000",בנזין,אוטומט,לבןפנינה
סוזוקי SX4 קרוסאובר,2,2015,"56,800₪",1586,"86,000",בנזין,אוטומט,כסוףמטאלי
מרצדס GLA,0,2021,לאצויןמחיר,1332,,היברידיחשמל/בנזין,אוטומט,לבן
קיה סורנטו,1,2021,"227,000₪",2497,50,בנזין,אוטומט,לבן
ב.מ.וו סדרה 8,2,2019,לאצויןמחיר,4395,"90,000",בנזין,אוטומט,לבןפנינה
וולוו XC60,2,2015,לאצויןמחיר,1969,,,,
פורשה קאיין,0,2021,לאצויןמחיר,2995,,,,
סקודה קודיאק,1,2018,"161,000₪",1395,,,,
אאודי Q5,1,2021,"345,000₪",1984,,,,
שברולט מאליבו,2,2011,"16,000₪",2384,,,,
סוזוקי SX4 קרוסאובר,1,2019,לאצויןמחיר,1373,,,,
שברולט קורבט,2,2021,"639,000₪",6162,,,,
דודג' ג'רני,4,2013,"45,000₪",2360,,,,
שברולט קרוז,2,2015,"21,900₪",1362,,,,
קיה פיקנטו,2,2014,"38,000₪",1248,,,,
פיג'ו 3008,1,2017,לאצויןמחיר,1560,"79,000",דיזל,אוטומט,זהבמטאלי
סקודה אוקטביה,1,2018,"80,000₪",1498,"166,000",בנזין,אוטומט,לבן
שברולט קאמארו,6,2011,"132,000₪",3604,,,,
טויוטה קורולה,3,2015,"60,000₪",1598,"125,000",בנזין,אוטומט,כסוף
וולוו S60,2,2016,לאצויןמחיר,1969,"148,000",בנזין,אוטומט,לבן
הונדה ג'אז ,1,2019,"86,500₪",1318,"33,000",בנזין,אוטומט,שחורמטאלי
אופל קורסה,3,2012,"10,500₪",1398,"120,000",בנזין,ידנית,כחולבהירמטאלי
שברולט מאליבו,2,2010,לאצויןמחיר,2384,"180,000",בנזין,אוטומט,שחורמטאלי
מרצדס ML Class,3,2014,"159,000₪",3498,"129,000",בנזין,אוטומט,לבן
פורד קוגה,1,2016,"75,000₪",1498,"140,000",בנזין,אוטומט,שחור
ב.מ.וו סדרה 5,1,2017,לאצויןמחיר,2998,"51,000",בנזין,אוטומט,אפורמטאלי
מרצדס E-Class,2,2017,לאצויןמחיר,1991,"120,000",בנזין,אוטומט,לבןפנינה
אלפא רומיאו ג'ולייטה,2,2013,"38,500₪",1368,"189,250",בנזין,רובוטית,לבןפנינה
ניסאן קשקאי,2,2012,"46,900₪",1997,"152,000",בנזין,אוטומט,אדוםמטאלי
אם. ג'י. / MG MG3,1,2015,"25,000₪",1498,"65,000",בנזין,ידנית,שחור
טויוטה קורולה,3,2009,לאצויןמחיר,1598,"180,000",בנזין,אוטומט,כסוף
סקודה סופרב (עד 2019) ,5,2012,"33,000₪",1798,"137,000",בנזין,אוטומט,כסףמטלי
אלפא רומיאו ג'וליה,1,2018,"158,000₪",1995,"62,000",בנזין,אוטומט,שחורמטאלי
איסוזו 4X4 D-MAX,1,2021,לאצויןמחיר,1898,,דיזל,אוטומט,אפור
אאודי A4,1,2018,"137,000₪",1395,"170,000",בנזין,אוטומט,לבן
מיצובישי לנסר ספורטבק,1,2016,"43,000₪",1798,,בנזין,אוטומט,שחורמטאלי
ג'יפ / Jeep גרנד צ'ירוקי,2,2015,"165,000₪",3604,"113,000",בנזין,אוטומט,אפורמטאלי
סיטרואן ברלינגו דור 2 (2008-2019),1,2017,לאצויןמחיר,1560,"161,000",דיזל,ידנית,לבן
רנו קנגוהחדשה,2,2015,"37,000₪",1598,"150,000",בנזין,אוטומט,לבן
שברולט ספארק,2,2016,"29,990₪",1399,"124,000",בנזין,אוטומט,אפורעכבר
פולקסווגן ג'טה,2,2015,699₪לחודש,1197,"127,000",בנזין,אוטומט,שחורמטאלי
רנו מאסטר ארוך,1,2017,"75,000₪",2299,"200,000",טורבודיזל,ידנית,לבן
מרצדס GLC,3,2020,לאצויןמחיר,1991,"28,000",בנזין,אוטומט,שחור
קיה ספורטז',1,2019,"125,000₪",1999,"33,000",בנזין,אוטומט,כסוףמטאלי
טויוטה C-HR,1,2018,"128,000₪",1798,"19,000",בנזין,אוטומט,אפורמטאלי
יונדאי i10,1,2014,"37,900₪",1248,"70,000",בנזין,אוטומט,אדום
מרצדס S-Class קופה,2,2016,לאצויןמחיר,5461,"110,000",בנזין,אוטומט,לבןפנינה
סוזוקי SX4 קרוסאובר,2,2015,"56,800₪",1586,"86,000",בנזין,אוטומט,כסוףמטאלי
מרצדס GLA,0,2021,לאצויןמחיר,1332,,היברידיחשמל/בנזין,אוטומט,לבן
קיה סורנטו,1,2021,"227,000₪",2497,50,בנזין,אוטומט,לבן
סקודה סופרב (עד 2019) ,5,2012,"33,000₪",1798,"137,000",בנזין,אוטומט,כסףמטלי
אלפא רומיאו ג'וליה,1,2018,"158,000₪",1995,"62,000",בנזין,אוטומט,שחורמטאלי
סיטרואן C4 פיקאסו,3,2012,"12,000₪",1598,"300,000",בנזין,אוטומט,לבן
פולקסווגן ג'טה,3,2014,"36,000₪",1197,"145,000",בנזין,אוטומט,שחור
יונדאי i10,1,2018,"60,000₪",1248,"23,000",בנזין,אוטומט,שחורמטאלי
פורד מוסטנג,3,2009,"90,000₪",4000,"58,000",בנזין,אוטומט,לבןמטאלי
סיטרואן C4 פיקאסו,1,2017,"62,000₪",1598,"98,800",בנזין,אוטומט,לבן
פיג'ו 5008,5,2011,"18,000₪",1598,"145,000",בנזין,אוטומט,כסוףמטאלי
ב.מ.וו X1,3,2018,לאצויןמחיר,1499,"95,000",בנזין,אוטומט,שחור
ב.מ.וו X5,2,2019,"313,000₪",1997,"78,000",היברידיחשמל/בנזין,אוטומט,אפורמטאלי
מרצדס C-Class Taxi,2,2012,לאצויןמחיר,2143,"380,000",דיזל,אוטומט,שחורמטאלי
מרצדס C-Class Taxi,4,2016,"79,999₪",2143,"280,000",דיזל,אוטומט,לבןמטאלי
יונדאי iX35,3,2012,"43,000₪",1998,"169,000",בנזין,אוטומט,תכלת
מאזדה 2,1,2020,"92,000₪",1496,"27,000",בנזין,אוטומט,לבןמטאלי
פיאט 500,4,2010,"18,000₪",1242,"151,200",בנזין,dualogic,כסוףמטאלי
ניסאן מיקרה,1,2018,"43,000₪",1198,"41,000",בנזין,ידנית,אפורמטאלי
אברת' 595,1,2019,"182,000₪",1368,"9,500",בנזין,ידנית,צהוב
יונדאי טוסון,1,2018,"133,000₪",1999,"40,000",בנזין,אוטומט,כסוףמטאלי
ב.מ.וו סדרה 8,2,2019,לאצויןמחיר,4395,"90,000",בנזין,אוטומט,לבןפנינה
וולוו XC60,2,2015,לאצויןמחיר,1969,"132,000",בנזין,אוטומט,כסוףמטאלי
פורשה קאיין,0,2021,לאצויןמחיר,2995,,היברידיחשמל/בנזין,אוטומט,לבן
סקודה קודיאק,1,2018,"161,000₪",1395,"115,000",בנזין,אוטומט,אפורמטאלי
אאודי Q5,1,2021,"345,000₪",1984,"8,000",בנזין,אוטומט,כסוףמטאלי
שברולט מאליבו,2,2011,"16,000₪",2384,"190,000",בנזין,אוטומט,אפורמטאלי
סוזוקי SX4 קרוסאובר,1,2019,לאצויןמחיר,1373,"26,500",בנזין,אוטומט,כחולכהה
שברולט קורבט,2,2021,"639,000₪",6162,"19,000",בנזין,אוטומט,תכלת
דודג' ג'רני,4,2013,"45,000₪",2360,"210,000",בנזין,אוטומט,לבןשנהב
שברולט קרוז,2,2015,"21,900₪",1362,"240,000",בנזין,אוטומט,כסוףמטאלי
קיה פיקנטו,2,2014,"38,000₪",1248,"102,000",בנזין,אוטומט,שחור
מרצדס E-Class,1,2021,לאצויןמחיר,1991,1,בנזין,אוטומט,שחור
רנו מגאן גראנד קופה,1,2017,"76,000₪",1461,"105,000",דיזל,אוטומט,אפורמטאלי
מרצדס CLA,2,2016,"149,000₪",1595,"101,000",בנזין,אוטומט,לבן
אאודי A3,2,2018,"139,900₪",1395,"61,000",היברידיחשמל/בנזין,אוטומט,שחורמטאלי
מרצדס A-Class,0,2022,לאצויןמחיר,1332,,היברידיחשמל/בנזין,אוטומט,שחור
מרצדס C-Class קופה,2,2016,לאצויןמחיר,1991,"109,000",בנזין,אוטומט,לבן
סקודה קודיאק,1,2019,"187,000₪",1498,"22,000",בנזין,אוטומט,שחור
יונדאי טוסון,1,2018,"133,000₪",1999,"40,000",בנזין,אוטומט,כסוףמטאלי
קיה נירו הייבריד,2,2017,"94,000₪",1580,"120,000",בנזין,אוטומט,לבןמטאלי
פיג'ו 3008,1,2019,"109,000₪",1199,"68,000",בנזין,אוטומט,לבן
קיה ריו,2,2012,"28,000₪",1396,"160,000",בנזין,אוטומט,כסוף
הונדה סיוויק סדאן החדשה,2,2010,"40,000₪",1799,"90,000",בנזין,אוטומט,כסוףמטאלי
פיג'ו 208,2,2018,"70,500₪",1199,"36,000",בנזין,אוטומט,אפורעכבר
רנו קליאו דור 3 (2006-2014),3,2012,"13,900₪",1149,"107,000",בנזין,ידנית,לבןפנינה
סוזוקי SX4 קרוסאובר,3,2014,"49,000₪",1586,"113,000",בנזין,אוטומט,ירוקמטאלי
הונדה סיוויק האצ'בק החדשה,2,2012,"26,500₪",1799,"225,200",בנזין,אוטומט,אפורמטאלי
ב.מ.וו סדרה 3,3,2015,"80,000₪",1598,"150,000",בנזין,אוטומט,שחורמטאלי
סוזוקי SX4,2,2012,"33,000₪",1586,"163,000",בנזין,אוטומט,לבןפנינה
טויוטה קורולה,3,2007,"14,800₪",1598,"244,000",בנזין,אוטומט,לבןמטאלי
טויוטה יאריס,2,2009,"15,000₪",1329,"120,000",בנזין,רובוטית,אדום
פיג'ו 208,1,2016,"41,000₪",1199,"83,000",בנזין,אוטומט,לבן
פורד גלאקסי,3,2011,"23,000₪",2261,"230,000",בנזין,אוטומט,כחולכהה
פורד פוקוס,2,2012,"25,000₪",1999,"165,000",בנזין,אוטומט,אפורמטאלי
לנד רובר ריינג' רובר איווק,1,2021,"380,000₪",1498,"15,000",היברידיחשמל/בנזין,אוטומט,לבן
אופל אסטרה,2,2014,"31,000₪",1364,"155,000",בנזין,אוטומט,שחור
קיה פיקנטו,4,2016,"40,000₪",1248,"69,000",בנזין,אוטומט,לבןמטאלי
מיצובישי אאוטלנדר,2,2018,"117,000₪",1998,"70,000",בנזין,אוטומט,לבןפנינה
מרצדס GLE,0,2021,לאצויןמחיר,2925,,דיזל,אוטומט,לבן
ב.מ.וו X3,5,2012,"63,000₪",1997,"152,000",בנזין,אוטומט,לבן
יונדאי סנטה פה,2,2014,"106,000₪",2199,"170,000",דיזל,אוטומט,לבן
מרצדס V-Class,2,2017,"199,900₪",2143,"500,000",דיזל,אוטומט,לבן
וולוו XC60,2,2016,"95,000₪",1969,"170,000",בנזין,אוטומט,לבן
מיצובישי אקליפס קרוס,2,2020,"124,999₪",1499,"21,500",בנזין,אוטומט,לבןפנינה
שברולט קרוז,3,2013,"12,000₪",1598,"220,000",בנזין,אוטומט,לבןפנינה
מיצובישי גרנדיס,2,2010,"34,000₪",2378,"217,000",בנזין,אוטומט,אפורמטאלי
פיג'ו 3008,2,2019,"119,000₪",1499,"92,000",דיזל,אוטומט,לבן
ניסאן מיקרה,1,2011,"28,100₪",1198,"36,000",בנזין,אוטומט,כסוף
קיה קארנס,2,2015,"64,800₪",1999,"72,000",בנזין,אוטומט,כסוףמטאלי
קיה פיקנטו,2,2012,"32,000₪",1248,"136,000",בנזין,אוטומט,ברונזהמטאלי
מיצובישי טרייטון / L200 4X4,1,2016,"119,000₪",2442,"124,000",דיזל,אוטומט,כסוף
הונדה אינסייט,3,2014,לאצויןמחיר,1339,"137,000",בנזין,אוטומט,לבןשנהב
מאזדה CX-5,2,2021,"165,000₪",1998,"9,000",בנזין,אוטומט,שחור
אאודי Q5,1,2017,"225,000₪",1984,"105,000",בנזין,אוטומט,אפורמטאלי
אופל אסטרה,2,2014,"31,000₪",1364,"155,000",בנזין,אוטומט,שחור
מרצדס S-Class,5,2007,"85,000₪",3498,"309,000",בנזין,אוטומט,כסוף
סקודה אוקטביה,3,2014,"40,000₪",1197,"151,000",בנזין,אוטומט,אפורמטאלי
דייהטסו סיריון,2,2007,"17,000₪",1298,"125,000",בנזין,אוטומט,לבן
מאזדה CX-5,1,2017,"92,500₪",1998,"138,000",בנזין,אוטומט,לבן
טויוטה C-HR,1,2018,"110,000₪",1798,"48,000",בנזין,אוטומט,אפורמטאלי
ג'י.אם.סי / GMC יוקון,3,2007,"84,000₪",5300,"151,000",בנזין,אוטומט,לבן
סוזוקי סוויפט,3,2012,"35,000₪",1242,"177,000",בנזין,אוטומט,כתום
סקודה אוקטביה,1,2017,"84,000₪",1197,"37,000",בנזין,אוטומט,כסוף
סקודה סופרב (עד 2019) ,3,2019,"205,000₪",1984,"51,000",בנזין,אוטומט,אפורמטאלי
טויוטה לנד קרוזר קצר,1,2017,"245,000₪",2755,"78,000",דיזל,אוטומט,כסוף
פולקסווגן פולו,3,2012,לאצויןמחיר,1390,"185,000",בנזין,ידנית,כסוף
יונדאי אלנטרה (2016 ואילך),2,2016,"70,000₪",1591,"86,000",בנזין,אוטומט,לבןמטאלי
טויוטה C-HR,2,2018,"115,000₪",1798,"42,000",בנזין,אוטומט,אפורעכבר
הונדה סיוויק האצ'בק החדשה,2,2013,"47,000₪",1798,"147,000",בנזין,אוטומט,לבן
ביואיק לה קרוס,2,2008,"25,000₪",3791,"85,000",בנזין,אוטומט,זהב
מיצובישי אאוטלנדר,2,2016,"95,000₪",1998,"94,500",בנזין,אוטומט,אפורעכבר
הונדה אקורד,3,2015,"45,000₪",1997,"170,000",בנזין,אוטומט,לבןפנינה
שברולט קרוז,3,2013,"12,000₪",1598,"220,000",בנזין,אוטומט,לבןפנינה
מיצובישי גרנדיס,2,2010,"34,000₪",2378,"217,000",בנזין,אוטומט,אפורמטאלי
פיג'ו 3008,2,2019,"119,000₪",1499,"92,000",דיזל,אוטומט,לבן
ניסאן מיקרה,1,2011,"28,100₪",1198,"36,000",בנזין,אוטומט,כסוף
קיה קארנס,2,2015,"64,800₪",1999,"72,000",בנזין,אוטומט,כסוףמטאלי
קיה פיקנטו,2,2012,"32,000₪",1248,"136,000",בנזין,אוטומט,ברונזהמטאלי
מיצובישי טרייטון / L200 4X4,1,2016,"119,000₪",2442,"124,000",דיזל,אוטומט,כסוף
הונדה אינסייט,3,2014,לאצויןמחיר,1339,"137,000",בנזין,אוטומט,לבןשנהב
מאזדה CX-5,2,2021,"165,000₪",1998,"9,000",בנזין,אוטומט,שחור
אאודי Q5,1,2017,"225,000₪",1984,"105,000",בנזין,אוטומט,אפורמטאלי
סקודה אוקטביה,3,2011,"29,000₪",1798,"156,000",בנזין,אוטומט,סגול
יונדאי i10,2,2016,"35,000₪",998,"77,000",בנזין,אוטומט,שחורמטאלי
אופל קורסה,2,2014,"25,000₪",1398,"124,000",בנזין,אוטומט,כחולמטאלי
שברולט קפטיבה,3,2014,לאצויןמחיר,2384,"112,000",בנזין,אוטומט,אפורעכבר
טויוטה אייגו (AYGO),0,2021,"69,000₪",998,,בנזין,ידנית,אדוםמטאלי
יונדאי i10,2,2015,"25,000₪",998,"160,000",בנזין,ידנית,לבן
אאודי TT,1,2020,"269,000₪",1984,"24,000",בנזין,אוטומט,אפורמטאלי
אאודי A3,4,2014,"64,000₪",1395,"130,000",בנזין,אוטומט,לבןמטאלי
אאודי A6,1,2019,"286,000₪",1984,"59,000",בנזין,אוטומט,לבן
אאודי S3,2,2016,"190,000₪",1984,"59,500",בנזין,אוטומט,אפורעכבר
סיאט לאון,1,2020,"212,000₪",1984,"28,000",בנזין,אוטומט,שחורמטאלי
שברולט ספארק,2,2017,"52,000₪",1399,"92,100",בנזין,אוטומט,לבן
סוזוקי סוויפט,3,2008,"19,999₪",1490,"189,000",בנזין,אוטומט,כסוף
טויוטה קורולה,2,2009,"44,000₪",1598,"97,000",בנזין,אוטומט,זהבמטאלי
סקודה אוקטביה,1,2014,"45,000₪",1395,"197,000",בנזין,אוטומט,כסףמטלי
סוזוקי אלטו,2,2011,"9,000₪",996,"270,000",בנזין,ידנית,כחול
סקודה פאביה,3,2008,"7,000₪",1598,"220,000",בנזין,אוטומט,בורדו
הונדה סיוויק האצ'בק החדשה,2,2018,"102,000₪",1498,"56,000",בנזין,אוטומט,אפור
פיג'ו 3008,1,2019,"107,000₪",1499,"134,000",דיזל,אוטומט,שחורמטאלי
וולוו XC90,1,2021,לאצויןמחיר,1969,"8,200",היברידיחשמל/בנזין,אוטומט,לבןמטאלי
סקודה סופרב (עד 2019) ,1,2010,"37,000₪",1798,"1,500",בנזין,אוטומט,שחורמטאלי
שברולט סילברדו 2500,1,2014,"125,000₪",6600,180,דיזל,אוטומט,כסוף
קיה ריו,3,2015,"39,500₪",1396,"165,000",בנזין,אוטומט,אפורעכבר
מרצדס CLA,2,2014,"125,000₪",1595,"145,000",בנזין,אוטומט,שחור
מרצדס SLK,3,2008,"120,000₪",2997,"125,000",בנזין,אוטומט,לבן
סיאט לאון,1,2022,"177,000₪",1984,1,בנזין,אוטומט,לבן
ניסאן מיקרה,1,2011,"28,100₪",1198,"36,000",בנזין,אוטומט,כסוף
קיה קארנס,2,2015,"64,800₪",1999,"72,000",בנזין,אוטומט,כסוףמטאלי
קיה פיקנטו,2,2012,"32,000₪",1248,"136,000",בנזין,אוטומט,ברונזהמטאלי
מיצובישי טרייטון / L200 4X4,1,2016,"119,000₪",2442,"124,000",דיזל,אוטומט,כסוף
הונדה אינסייט,3,2014,לאצויןמחיר,1339,"137,000",בנזין,אוטומט,לבןשנהב
מאזדה CX-5,2,2021,"165,000₪",1998,"9,000",בנזין,אוטומט,שחור
אאודי Q5,1,2017,"225,000₪",1984,"105,000",בנזין,אוטומט,אפורמטאלי
סקודה אוקטביה,3,2011,"29,000₪",1798,"156,000",בנזין,אוטומט,סגול
יונדאי i10,2,2016,"35,000₪",998,"77,000",בנזין,אוטומט,שחורמטאלי
אופל קורסה,2,2014,"25,000₪",1398,"124,000",בנזין,אוטומט,כחולמטאלי
שברולט קפטיבה,3,2014,לאצויןמחיר,2384,"112,000",בנזין,אוטומט,אפורעכבר
טויוטה אייגו (AYGO),0,2021,"69,000₪",998,,בנזין,ידנית,אדוםמטאלי
יונדאי i10,2,2015,"25,000₪",998,"160,000",בנזין,ידנית,לבן
אאודי TT,1,2020,"269,000₪",1984,"24,000",בנזין,אוטומט,אפורמטאלי
אאודי A3,4,2014,"64,000₪",1395,"130,000",בנזין,אוטומט,לבןמטאלי
סקודה סופרב (2019 ואילך),0,2022,"280,000₪",1395,,היברידיחשמל/בנזין,אוטומט,שחור
קיה פיקנטו,1,2017,"61,000₪",1248,"33,000",בנזין,אוטומט,אדוםמטאלי
אאודי Q5,2,2014,"104,000₪",1984,"89,000",בנזין,אוטומט,לבןמטאלי
מרצדס SLK,3,2008,"120,000₪",2997,"125,000",בנזין,אוטומט,לבן
סיאט לאון,1,2022,"177,000₪",1984,1,בנזין,אוטומט,לבן
יונדאי סונטה הייבריד,2,2016,"89,000₪",1999,"152,000",בנזין,אוטומט,לבןמטאלי
סקודה אוקטביה,2,2015,"60,000₪",1798,"140,000",בנזין,אוטומט,אפורמטאלי
מאזדה CX-5,2,2021,"164,000₪",1998,"12,000",בנזין,אוטומט,לבןפנינה
פיג'ו 508,3,2016,"43,000₪",1598,"96,000",בנזין,אוטומט,שחורמטאלי
קיה ספורטז',2,2016,"96,000₪",1591,"68,000",בנזין,אוטומט,לבן
אופל קורסה,2,2018,"53,000₪",1398,"58,000",בנזין,אוטומט,שחורמטאלי
טויוטה קורולה,2,2011,"35,000₪",1598,"151,000",בנזין,אוטומט,שחורמטאלי
ניסאן ג'וק / Juke,3,2013,"38,000₪",1598,"135,000",בנזין,אוטומט,שחורמטאלי
קיה נירו הייבריד,1,2018,"92,000₪",1580,101,בנזין,אוטומט,לבןפנינה
אינפיניטי G37,5,2009,לאצויןמחיר,3696,"200,000",בנזין,אוטומט,אפורמטאלי
סקודה ראפיד,2,2015,"30,000₪",1395,"300,000",בנזין,אוטומט,לבןפנינה
טויוטה קורולה הייבריד,2,2020,"132,000₪",1798,"15,000",בנזין,אוטומט,שחורמטאלי
סקודה אוקטביה,2,2017,"69,000₪",1197,"109,000",בנזין,אוטומט,שחורמטאלי
פיג'ו 508,4,2016,"52,000₪",1598,"101,000",בנזין,אוטומט,לבןמטאלי
שברולט מאליבו,2,2013,"37,000₪",1998,"194,300",בנזין,אוטומט,לבן
מאזדה CX-5,2,2016,"92,000₪",1998,"124,000",בנזין,אוטומט,שחורמטאלי
יונדאי i25,2,2013,710₪לחודש,1368,"140,000",בנזין,אוטומט,תכלתמטאלי
סובארו B4,1,2012,"26,000₪",1994,,בנזין,אוטומט,כסוףמטאלי
פולקסווגן פאסאט CC,3,2015,לאצויןמחיר,1798,"138,000",בנזין,אוטומט,שחור
אופל אסטרה,2,2015,"30,000₪",1364,"186,000",בנזין,אוטומט,כחולבהירמטאלי
ניסאן סנטרה,0,2021,לאצויןמחיר,1997,,בנזין,אוטומט,כתום
אאודי TT,3,2013,לאצויןמחיר,1798,"117,000",בנזין,אוטומט,לבןשנהב
לקסוס LS460,2,2008,"50,000₪",4608,"170,000",בנזין,אוטומט,שחור
קיה פיקנטו,1,2021,"82,000₪",1248,1,בנזין,אוטומט,לבןמטאלי
פולקסווגן ג'טה,2,2013,"33,900₪",1197,"155,000",בנזין,אוטומט,שחורמטאלי
מרצדס A-Class,1,2014,"92,900₪",1595,"139,000",בנזין,אוטומט,לבןפנינה
טויוטה קורולה,1,2017,"79,900₪",1598,"160,000",בנזין,אוטומט,ברונזהמטאלי
ג'יפ / Jeep גרנד צ'ירוקי,2,2015,לאצויןמחיר,3604,"141,000",בנזין,אוטומט,לבן
וולוו XC60,1,2021,"375,000₪",1969,1,היברידיחשמל/בנזין,אוטומט,לבן
פיג'ו 5008,2,2011,"18,000₪",1598,"170,000",בנזין,אוטומט,אפור
קיה פיקנטו,3,2014,"30,000₪",1248,"116,000",בנזין,ידנית,לבןפנינה
רנו קליאו דור 4 (2013-2019),1,2016,"44,000₪",1197,"122,000",בנזין,אוטומט,אפורעכבר
סקודה אוקטביה,3,2015,"58,000₪",1197,"135,000",בנזין,אוטומט,אפורמטאלי
סיאט איביזה,3,2012,"35,500₪",1197,"136,000",בנזין,אוטומט,לבן
סוזוקי סוויפט,4,2011,לאצויןמחיר,1242,"149,000",בנזין,אוטומט,ירוקמטאלי
קיה ספורטז',2,2016,"81,000₪",1591,"98,000",בנזין,אוטומט,שחורמטאלי
שברולט ספארק,1,2016,"53,500₪",1399,"72,800",בנזין,אוטומט,שחור
אאודי A3,2,2014,"72,000₪",1798,"66,500",בנזין,אוטומט,שחור
סוזוקי אלטו,2,2014,לאצויןמחיר,996,"70,000",בנזין,ידנית,שחורמטאלי
קיה ריו,2,2014,"14,000₪",1396,"320,000",דיזל,ידנית,לבןשנהב
ב.מ.וו X3,2,2012,"82,500₪",1995,"210,000",דיזל,אוטומט,בורדו
שברולט קפטיבה,3,2011,"12,000₪",2231,"251,000",דיזל,אוטומט,אפורמטאלי
טויוטה קאמרי,1,2016,"118,000₪",2494,"70,000",בנזין,אוטומט,לבןפנינה
סוזוקי SX4 קרוסאובר,2,2016,"67,500₪",1586,"98,000",בנזין,אוטומט,אפורמטאלי
הונדה סיוויק סדאן החדשה,1,2017,"75,000₪",1798,"102,000",בנזין,אוטומט,ברונזה
הונדה סיוויק הייבריד,2,2007,"18,500₪",1339,"190,000",בנזין,אוטומט,כסוףמטאלי
מיני ONE,4,2015,"50,000₪",1198,"99,000",בנזין,ידנית,אדוםמטאלי
אאודי Q5,2,2015,"115,000₪",1984,"148,000",בנזין,אוטומט,לבןמטאלי
סיאט לאון,1,2019,"155,000₪",1984,"35,000",בנזין,אוטומט,לבן
פולקסווגן פאסאט,3,2016,"58,000₪",1798,"176,000",בנזין,אוטומט,שחורמטאלי
סיאט איביזה,1,2020,"96,000₪",999,"35,000",בנזין,אוטומט,כסוףמטאלי
הונדה סיוויק סדאן החדשה,2,2019,"77,000₪",1597,"75,000",בנזין,אוטומט,אפורמטאלי
רנו קליאו דור 4 (2013-2019),1,2016,"44,000₪",1197,"122,000",בנזין,אוטומט,אפורעכבר
סקודה אוקטביה,3,2015,"58,000₪",1197,"135,000",בנזין,אוטומט,אפורמטאלי
סיאט איביזה,3,2012,"35,500₪",1197,"136,000",בנזין,אוטומט,לבן
פיאט דובלו,1,2016,"49,000₪",1598,"79,000",דיזל,ידנית,לבן
אאודי Q7,3,2011,"110,000₪",2995,"145,000",בנזין,אוטומט,אפור
מיצובישי טרייטון / L200 2X4,1,2017,"123,000₪",2442,"89,000",דיזל,אוטומט,לבן
קיה ספורטז',1,2021,"133,900₪",1999,"7,000",בנזין,אוטומט,שחורמטאלי
ניסאן 370Z,2,2018,לאצויןמחיר,3696,"42,000",בנזין,ידנית,לבן
מיצובישי ספייס סטאר,1,2020,"65,900₪",1193,"28,000",בנזין,אוטומט,שחור
יונדאי i30,2,2011,"29,900₪",1591,"125,000",בנזין,אוטומט,כחולכההמטאלי
ב.מ.וו X6,0,2021,לאצויןמחיר,2998,,בנזין,אוטומט,אפורמטאלי
קיה פיקנטו,2,2014,"29,900₪",1248,"150,000",בנזין,ידנית,שחורמטאלי
אינפיניטי Q50,2,2018,לאצויןמחיר,1991,"33,700",בנזין,אוטומט,שחורמטאלי
פיג'ו בוקסר,1,2017,"64,000₪",1997,"162,000",דיזל,ידנית,לבן
ב.מ.וו X1,3,2019,לאצויןמחיר,1499,"16,000",בנזין,אוטומט,שחור
לנד רובר ריינג' רובר וולאר,0,2021,לאצויןמחיר,1997,,היברידיחשמל/בנזין,אוטומט,לבןמטאלי
קיה ספורטז',2,2017,"82,900₪",1591,"120,000",בנזין,אוטומט,לבן
מאזדה 5,1,2015,"67,500₪",1999,"164,000",בנזין,אוטומט,כסוף
פורד מוסטנג,1,2020,לאצויןמחיר,2261,"20,000",בנזין,אוטומט,שחורמטאלי
מיני ONE,4,2013,"41,000₪",1598,"157,000",בנזין,ידנית,קרם
טויוטה קורולה,4,2008,"13,000₪",1598,"308,000",בנזין,רובוטית,לבן
סיאט איביזה,1,2021,"99,000₪",999,"12,000",בנזין,DSG,לבן
ניסאן מיקרה,3,2010,"12,000₪",1386,"260,000",בנזין,אוטומט,כסוףמטאלי
ב.מ.וו X6,1,2021,לאצויןמחיר,2993,"8,000",דיזל,אוטומט,לבן
מיצובישי ASX,1,2019,"117,500₪",1998,"43,000",בנזין,אוטומט,שחורמטאלי
טויוטה RAV4 ארוך,3,2008,"38,000₪",1998,"196,100",בנזין,אוטומט,שחור
סקודה קודיאק,1,2019,"175,000₪",1968,"99,000",דיזל,אוטומט,ירוקמטאלי
הונדה ג'אז הייבריד,2,2015,"58,500₪",1339,"53,700",בנזין,אוטומט,לבן
מרצדס C-Class Taxi,1,2019,"125,000₪",1950,"138,000",דיזל,אוטומט,לבןשנהב
